LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C335605,ILBB0805ER110V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/2d9ed804cfa8986de7d7a5734992e0a5.pdf?productCode=C335605,360,0.1196,5,5,https://www.lcsc.com/product-detail/C335605.html,0805,Tape & Reel (TR),1,11Ω@100MHz,±25%,1Ω,150mA,-55℃~+125℃
C3764460,BLM21AG471BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c089ea6e51d42074abe256a01cd45696.pdf?productCode=C3764460,350,0.0830,5,5,https://www.lcsc.com/product-detail/C3764460.html,0805,Tape & Reel (TR),1,470Ω@100MHz,±25%,180mΩ,700mA,-55℃~+150℃
C710386,BLM18PG331SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C710386,340,0.0503,20,20,https://www.lcsc.com/product-detail/C710386.html,0603,Tape & Reel (TR),1,330Ω@100MHz,±25%,150mΩ,1.2A,-55℃~+125℃
C2661695,BLM18DN221SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/60aba3a589cdfe589f09d27043235d34.pdf?productCode=C2661695,325,0.1532,5,5,https://www.lcsc.com/product-detail/C2661695.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,210mΩ,1A,-55℃~+125℃
C7509827,BLM15PX600SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d12c04bbd2c2d6885be3ff9ad21057d0.pdf?productCode=C7509827,320,0.1134,5,5,https://www.lcsc.com/product-detail/C7509827.html,0402,Tape & Reel (TR),1,60Ω@100MHz,±25%,32mΩ,2.5A,-55℃~+125℃
C710507,BLM21BD471SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6242bda61675039a79fe525df931ed03.pdf?productCode=C710507,320,0.0621,10,10,https://www.lcsc.com/product-detail/C710507.html,0805,Tape & Reel (TR),1,470Ω@100MHz,±25%,350mΩ,300mA,-55℃~+125℃
C710397,BLM21AG121BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/ce88fe4bcc3f46757dcd799dd482696b.pdf?productCode=C710397,320,0.0769,5,5,https://www.lcsc.com/product-detail/C710397.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,90mΩ,1A,-55℃~+150℃
C710356,BLM18BD252BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b4a23897cfbfcb266e74774e445a0ee.pdf?productCode=C710356,320,0.0272,20,20,https://www.lcsc.com/product-detail/C710356.html,0603,Tape & Reel (TR),1,2.5kΩ@100MHz,±25%,1.5Ω,150mA,-55℃~+150℃
C193536,MPZ1608S601ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C193536,310,0.0249,10,10,https://www.lcsc.com/product-detail/C193536.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C41519026,BLM21PG102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/cbfff71716764302a0bea5ea082ea432.pdf?productCode=C41519026,300,0.0695,5,5,https://www.lcsc.com/product-detail/C41519026.html,0805,Tape & Reel (TR),,,,,,
C23478986,BMC2AY0220AN,TE Connectivity,https://datasheet.lcsc.com/datasheet/pdf/b5b10d795b491d8abcc66e90cb9a6ea2.pdf?productCode=C23478986,300,0.0806,5,5,https://www.lcsc.com/product-detail/C23478986.html,0805,Bag-packed,-,-,±25%,-,-,-
C6869204,BLM21SP111BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/38b7ecbc9271e1ac718e746772e8567d.pdf?productCode=C6869204,300,0.4197,1,1,https://www.lcsc.com/product-detail/C6869204.html,0805,Tape & Reel (TR),1,110Ω@100MHz,±25%,13mΩ,5A,-55℃~+150℃
C710343,BLM15KD121SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/eecb60affbcec3118992992ed92c5a45.pdf?productCode=C710343,300,0.0147,50,50,https://www.lcsc.com/product-detail/C710343.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,70mΩ,1.5A,-55℃~+125℃
C307759,MMZ1608D050CTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C307759,300,0.0179,50,50,https://www.lcsc.com/product-detail/C307759.html,0603,Tape & Reel (TR),1,5Ω@100MHz,±25%,50mΩ,700mA,-55℃~+125℃
C107328,MMZ1608S800ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C107328,300,0.0147,50,50,https://www.lcsc.com/product-detail/C107328.html,0603,Tape & Reel (TR),1,80Ω@100MHz,±25%,150mΩ,500mA,-55℃~+125℃
C24089940,BMC2AY0300AG,TE Connectivity,https://datasheet.lcsc.com/datasheet/pdf/8d0aee4e5a5171964e6e03cf5cb23664.pdf?productCode=C24089940,290,0.1588,5,5,https://www.lcsc.com/product-detail/C24089940.html,0805,Bag-packed,1,300Ω@100MHz,±25%,50mΩ,3A,-55℃~+125℃
C3716550,BLE18PS080BH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6a51d08a00dcc08594fb86b734f0e1a9.pdf?productCode=C3716550,285,0.1488,5,5,https://www.lcsc.com/product-detail/C3716550.html,0603,Tape & Reel (TR),1,8.5Ω@100MHz,±25%,4mΩ,5A,-55℃~+150℃
C139470,MU1608-151Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139470,265,0.0537,5,5,https://www.lcsc.com/product-detail/C139470.html,0603,Tape & Reel (TR),1,150Ω@100MHz,±25%,250mΩ,600mA,-55℃~+125℃
C1533884,MMZ1005S121HT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/6578fba18f32b5dac3fd1f899fc6058a.pdf?productCode=C1533884,250,0.0187,50,50,https://www.lcsc.com/product-detail/C1533884.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,130mΩ,700mA,-55℃~+125℃
C1235320,BLM18BB220SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C1235320,240,0.0220,20,20,https://www.lcsc.com/product-detail/C1235320.html,0603,Tape & Reel (TR),1,22Ω@100MHz,±25%,200mΩ,700mA,-55℃~+125℃
C440129,BLM18AG121SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f7ab88246111b2e9e57c070fda380180.pdf?productCode=C440129,240,0.1144,10,10,https://www.lcsc.com/product-detail/C440129.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,180mΩ,800mA,-55℃~+125℃
C6491643,ABPY00201209601Y00,PULSE,https://datasheet.lcsc.com/datasheet/pdf/43e2316f2306abaa73d466e4f2475a0d.pdf?productCode=C6491643,230,0.2005,5,5,https://www.lcsc.com/product-detail/C6491643.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,100mΩ,2A,-55℃~+125℃
C6294426,MAF1005PAD120CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/32d10a3e1a2e8a41de58a742ee25b372.pdf?productCode=C6294426,230,0.3263,5,5,https://www.lcsc.com/product-detail/C6294426.html,0402,Tape & Reel (TR),1,12Ω@900MHz,-,9mΩ,6A,-55℃~+125℃
C2661776,BLM21SP331SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c9dff59d7e76b94bb89593ef2db731c4.pdf?productCode=C2661776,230,0.1431,5,5,https://www.lcsc.com/product-detail/C2661776.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,40mΩ,2.8A,-55℃~+125℃
