LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C2661478,BLM18KG471SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/275d6a6b9900489555a262315b27af2d.pdf?productCode=C2661478,7850,0.0227,50,50,https://www.lcsc.com/product-detail/C2661478.html,0603,Tape & Reel (TR),1,470Ω@100MHz,±25%,130mΩ,1.5A,-55℃~+125℃
C275421,MMZ1005F560CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/0f49491bfe78f4d9dbe948a6ee7dab34.pdf?productCode=C275421,7850,0.0140,50,50,https://www.lcsc.com/product-detail/C275421.html,0402,Tape & Reel (TR),1,56Ω@100MHz,±25%,700mΩ,100mA,-55℃~+125℃
C2680657,MAF1005GAD262AT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/0e6335929b4c37e55312c42aefc6ac8f.pdf?productCode=C2680657,7840,0.0609,10,10,https://www.lcsc.com/product-detail/C2680657.html,0402,Tape & Reel (TR),1,400Ω@100MHz,±25%,1.2Ω,300mA,-55℃~+125℃
C113016,BLM18BB100SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/138cd0d36536472da378bf00c495d8f0.pdf?productCode=C113016,7820,0.0307,20,20,https://www.lcsc.com/product-detail/C113016.html,0603,Tape & Reel (TR),1,10Ω@100MHz,±25%,100mΩ,700mA,-55℃~+125℃
C2661459,PE-0603FB601ST,PULSE,https://datasheet.lcsc.com/datasheet/pdf/c3b8e22ba7ae71d08095f536d6488c7d.pdf?productCode=C2661459,7700,0.0371,10,10,https://www.lcsc.com/product-detail/C2661459.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,380mΩ,500mA,-40℃~+105℃
C527966,BLM21RK601SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/02bfc87a298765c48304c1f74ec446b1.pdf?productCode=C527966,7650,0.1489,5,5,https://www.lcsc.com/product-detail/C527966.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,300mΩ,200mA,-55℃~+125℃
C527991,BLM18KG221SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f7ab88246111b2e9e57c070fda380180.pdf?productCode=C527991,7580,0.0391,20,20,https://www.lcsc.com/product-detail/C527991.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,50mΩ,2.2A,-55℃~+125℃
C3764529,BLM15BD102SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d17f57fc000b6fd5aab107aca91bd9cd.pdf?productCode=C3764529,7550,0.0092,50,50,https://www.lcsc.com/product-detail/C3764529.html,0402,Tape & Reel (TR),1,1kΩ@100MHz,±25%,900mΩ,200mA,-55℃~+125℃
C882963,BLM15BB121SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/8c6b06314fe8c66f670102e97ae326ca.pdf?productCode=C882963,7550,0.0142,50,50,https://www.lcsc.com/product-detail/C882963.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,550mΩ,300mA,-55℃~+125℃
C160967,BLM15AG102SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/0b3c9669a73bddc4b9463f77f09cf03f.pdf?productCode=C160967,7550,0.0208,50,50,https://www.lcsc.com/product-detail/C160967.html,0402,Tape & Reel (TR),1,1kΩ@100MHz,±25%,1Ω,200mA,-55℃~+125℃
C913447,BLM18SG260TZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/275d6a6b9900489555a262315b27af2d.pdf?productCode=C913447,7540,0.0628,10,10,https://www.lcsc.com/product-detail/C913447.html,0603,Tape & Reel (TR),1,26Ω@100MHz,±25%,7mΩ,6A,-55℃~+125℃
C437406,BLM21AG601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C437406,7480,0.0729,10,10,https://www.lcsc.com/product-detail/C437406.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,210mΩ,700mA,-55℃~+125℃
C76807,MMZ1005Y400CT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/5cb64914119eac12dd818df36ace095d.pdf?productCode=C76807,7470,0.0142,10,10,https://www.lcsc.com/product-detail/C76807.html,0402,Tape & Reel (TR),1,40Ω@100MHz,±25%,100mΩ,550mA,-55℃~+125℃
C710370,BLM18KG101TH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2c5bce5fb2c1c339a66dbec3a69f6280.pdf?productCode=C710370,7440,0.0430,20,20,https://www.lcsc.com/product-detail/C710370.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,30mΩ,3A,-55℃~+125℃
C87554,MPZ1608D101BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/5525eadde63874e80c8e8f485485d5a6.pdf?productCode=C87554,7390,0.0198,10,10,https://www.lcsc.com/product-detail/C87554.html,0603,Tape & Reel (TR),1,100Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C882961,BLM15AX121SN1D11,muRata,https://datasheet.lcsc.com/datasheet/pdf/e75043babdebbe8ca9dd2e0ea70ebad9.pdf?productCode=C882961,7250,0.0114,50,50,https://www.lcsc.com/product-detail/C882961.html,0402,Tape & Reel (TR),,120Ω@100MHz,±25%,130mΩ,700mA,-55℃~+125℃
C3716467,BLM15BD121SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d17f57fc000b6fd5aab107aca91bd9cd.pdf?productCode=C3716467,7100,0.0107,50,50,https://www.lcsc.com/product-detail/C3716467.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,300mΩ,300mA,-55℃~+125℃
C437410,BLM21PG121SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2b9f35c7e82519eec2c7437ad76c70ed.pdf?productCode=C437410,7100,0.0970,10,10,https://www.lcsc.com/product-detail/C437410.html,0805,Tape & Reel (TR),1,120Ω@100MHz,±25%,30mΩ,3A,-55℃~+125℃
C136225,MMZ1608R301ATA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/87432f053e79e0383615d7ea0c5b69df.pdf?productCode=C136225,7030,0.0180,10,10,https://www.lcsc.com/product-detail/C136225.html,0603,Tape & Reel (TR),1,300Ω@100MHz,±25%,250mΩ,500mA,-55℃~+125℃
C275422,MMZ1005F750ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C275422,6952,0.0382,1,1,https://www.lcsc.com/product-detail/C275422.html,0402,Tape & Reel (TR),1,75Ω@100MHz,±25%,1Ω,250mA,-55℃~+125℃
C307756,MMZ1005AFZ151VT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/76120b2ffa0347fea4d4511a75d61ebd.pdf?productCode=C307756,6900,0.0399,20,20,https://www.lcsc.com/product-detail/C307756.html,0402,Tape & Reel (TR),1,150Ω@100MHz,±25%,1.3Ω,200mA,-55℃~+125℃
C531293,MMZ1608Y102BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C531293,6780,0.0211,10,10,https://www.lcsc.com/product-detail/C531293.html,0603,Tape & Reel (TR),1,1kΩ@100MHz,±25%,500mΩ,400mA,-55℃~+125℃
C596494,BLM18HE152SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/4da4ddc10286ebc40a4f884e0b0a6145.pdf?productCode=C596494,6760,0.0875,10,10,https://www.lcsc.com/product-detail/C596494.html,0603,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,500mΩ,500mA,-55℃~+125℃
C72904,BLM21PG331SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/9f16a27e09fb1b0c781a9ebe31445887.pdf?productCode=C72904,6760,0.0457,10,10,https://www.lcsc.com/product-detail/C72904.html,0805,Tape & Reel (TR),1,330Ω@100MHz,±25%,70mΩ,1.5A,-55℃~+125℃
C275478,MPZ1005S121HT000,TDK,https://datasheet.lcsc.com/datasheet/pdf/8d03624d294aba7f515f7107402d6929.pdf?productCode=C275478,6750,0.0287,10,10,https://www.lcsc.com/product-detail/C275478.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,55mΩ,2A,-55℃~+125℃
C710334,BLM15BD601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/5b7f8c5ecd145c485e4ad23cedec9b3a.pdf?productCode=C710334,6650,0.0108,50,50,https://www.lcsc.com/product-detail/C710334.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,650mΩ,200mA,-
C845116,ILHB0603ER121V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/97cf020d8dce34fc843f5c5842e80f19.pdf?productCode=C845116,6580,0.0872,10,10,https://www.lcsc.com/product-detail/C845116.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,100mΩ,2A,-55℃~+125℃
C413959,BLM21BD152SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/02bfc87a298765c48304c1f74ec446b1.pdf?productCode=C413959,6450,0.0753,10,10,https://www.lcsc.com/product-detail/C413959.html,0805,Tape & Reel (TR),1,1.5kΩ@100MHz,±25%,450mΩ,250mA,-55℃~+125℃
C307774,MPZ1608S471ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C307774,6380,0.0238,20,20,https://www.lcsc.com/product-detail/C307774.html,0603,Tape & Reel (TR),1,470Ω@100MHz,±25%,150mΩ,1A,-55℃~+125℃
C2661959,BLM15HG601SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/964cb2c5c1f2a1a104c55473cafd3d88.pdf?productCode=C2661959,6360,0.0251,20,20,https://www.lcsc.com/product-detail/C2661959.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,700mΩ,300mA,-55℃~+125℃
