LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C114636,RC0603FR-0775KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114636,251700,0.0066,100,100,https://www.lcsc.com/product-detail/C114636.html,0603,Tape & Reel (TR),Thick Film Resistor,75kΩ,±1%,75V,100mW,±100ppm/℃
C116677,AC0603FR-0710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C116677,248900,0.0073,100,100,https://www.lcsc.com/product-detail/C116677.html,0603,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,75V,100mW,±100ppm/℃
C144688,AC0603FR-071K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144688,248700,0.0062,100,100,https://www.lcsc.com/product-detail/C144688.html,0603,Tape & Reel (TR),Thick Film Resistor,1.5kΩ,±1%,75V,100mW,±100ppm/℃
C114611,RC0603FR-072K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114611,246400,0.0095,100,100,https://www.lcsc.com/product-detail/C114611.html,0603,Tape & Reel (TR),Thick Film Resistor,2.4kΩ,±1%,75V,100mW,±100ppm/℃
C163471,RC0402FR-07360KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163471,242800,0.0022,100,100,https://www.lcsc.com/product-detail/C163471.html,0402,Tape & Reel (TR),Thick Film Resistor,360kΩ,±1%,50V,62.5mW,±100ppm/℃
C163487,RC0402FR-0716KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163487,242100,0.0038,100,100,https://www.lcsc.com/product-detail/C163487.html,0402,Tape & Reel (TR),Thick Film Resistor,16kΩ,±1%,50V,62.5mW,±100ppm/℃
C276278,RC0402FR-078K06L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C276278,235400,0.0026,100,100,https://www.lcsc.com/product-detail/C276278.html,0402,Tape & Reel (TR),Thick Film Resistor,8.06kΩ,±1%,50V,62.5mW,±100ppm/℃
C141697,RC0805FR-0775RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C141697,234300,0.0076,100,100,https://www.lcsc.com/product-detail/C141697.html,0805,Tape & Reel (TR),Thick Film Resistor,75Ω,±1%,150V,125mW,±100ppm/℃
C185455,RC0402FR-071K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185455,231000,0.0014,100,100,https://www.lcsc.com/product-detail/C185455.html,0402,Tape & Reel (TR),Thick Film Resistor,1.3kΩ,±1%,50V,62.5mW,±100ppm/℃
C114523,RC0805FR-07150RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114523,228500,0.0091,100,100,https://www.lcsc.com/product-detail/C114523.html,0805,Tape & Reel (TR),Thick Film Resistor,150Ω,±1%,150V,125mW,±100ppm/℃
C155695,RC0402FR-077K68L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C155695,224300,0.0053,100,100,https://www.lcsc.com/product-detail/C155695.html,0402,Tape & Reel (TR),Thick Film Resistor,7.68kΩ,±1%,50V,62.5mW,±100ppm/℃
C114667,RC0603FR-07300KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114667,219400,0.0069,100,100,https://www.lcsc.com/product-detail/C114667.html,0603,Tape & Reel (TR),Thick Film Resistor,300kΩ,±1%,75V,100mW,±100ppm/℃
C138055,RC0402FR-0714K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138055,216600,0.0054,100,100,https://www.lcsc.com/product-detail/C138055.html,0402,Tape & Reel (TR),Thick Film Resistor,14.7kΩ,±1%,50V,62.5mW,±100ppm/℃
C137768,RC0603FR-0722K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137768,214200,0.0071,100,100,https://www.lcsc.com/product-detail/C137768.html,0603,Tape & Reel (TR),Thick Film Resistor,22.1kΩ,±1%,75V,100mW,±100ppm/℃
C114531,RC0805FR-073K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114531,211300,0.0081,100,100,https://www.lcsc.com/product-detail/C114531.html,0805,Tape & Reel (TR),Thick Film Resistor,3.3kΩ,±1%,150V,125mW,±100ppm/℃
C114066,RC0603FR-07510KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114066,207600,0.0066,100,100,https://www.lcsc.com/product-detail/C114066.html,0603,Tape & Reel (TR),Thick Film Resistor,510kΩ,±1%,75V,100mW,±100ppm/℃
C114526,RC0805FR-071K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114526,206200,0.0077,100,100,https://www.lcsc.com/product-detail/C114526.html,0805,Tape & Reel (TR),Thick Film Resistor,1.2kΩ,±1%,150V,125mW,±100ppm/℃
C89104,RC0805FR-07470KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C89104,205700,0.0080,100,100,https://www.lcsc.com/product-detail/C89104.html,0805,Tape & Reel (TR),Thick Film Resistor,470kΩ,±1%,150V,125mW,±100ppm/℃
C477610,RC0402FR-07130RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C477610,201100,0.0055,100,100,https://www.lcsc.com/product-detail/C477610.html,0402,Tape & Reel (TR),Thick Film Resistor,130Ω,±1%,50V,62.5mW,±100ppm/℃
C126360,RC0603FR-0756RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C126360,198700,0.0069,100,100,https://www.lcsc.com/product-detail/C126360.html,0603,Tape & Reel (TR),Thick Film Resistor,56Ω,±1%,75V,100mW,±100ppm/℃
C137739,RC0603FR-07360RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137739,195600,0.0028,100,100,https://www.lcsc.com/product-detail/C137739.html,0603,Tape & Reel (TR),Thick Film Resistor,360Ω,±1%,75V,100mW,±100ppm/℃
C137965,RC0402FR-074K99L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137965,194600,0.0055,100,100,https://www.lcsc.com/product-detail/C137965.html,0402,Tape & Reel (TR),Thick Film Resistor,4.99kΩ,±1%,50V,62.5mW,±100ppm/℃
C114546,RC0805FR-07750RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114546,186600,0.0093,100,100,https://www.lcsc.com/product-detail/C114546.html,0805,Tape & Reel (TR),Thick Film Resistor,750Ω,±1%,150V,125mW,±100ppm/℃
C107233,RC0805FR-0751KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C107233,179900,0.0068,100,100,https://www.lcsc.com/product-detail/C107233.html,0805,Tape & Reel (TR),Thick Film Resistor,51kΩ,±1%,150V,125mW,±100ppm/℃
C185425,RC0402FR-0732K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185425,175700,0.0055,100,100,https://www.lcsc.com/product-detail/C185425.html,0402,Tape & Reel (TR),Thick Film Resistor,32.4kΩ,±1%,50V,62.5mW,±100ppm/℃
