"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C668979","MMSZ5248B-TP","MCC","2180","20","20","https://www.lcsc.com/product-detail/C668979.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","18V","100nA@14V","","-65℃~+150℃","21Ω","600Ω",""
"C672232","BZX84C5V1Q-7-F","DIODES","3020","10","10","https://www.lcsc.com/product-detail/C672232.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","5.1V","2uA@1V","4.8V~5.4V","-65℃~+150℃","60Ω","480Ω","-"
"C674401","MMSZ5252BS-7-F","DIODES","1910","10","10","https://www.lcsc.com/product-detail/C674401.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","24V","100nA@18V","22.8V~25.2V","-65℃~+150℃","33Ω","600Ω",""
"C674413","BZX84C7V5-7-F","DIODES","100","20","20","https://www.lcsc.com/product-detail/C674413.html","SOT-23-3","Tape & Reel (TR)","1 Independent","350mW","7.5V","1uA@5V","7V~7.9V","-65℃~+150℃","15Ω","80Ω","-"
"C692854","BZX84C18","HT(Shenzhen Jinyu Semicon)","2950","50","50","https://www.lcsc.com/product-detail/C692854.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","18V","50nA@12.6V","14.25V~15.75V","-65℃~+150℃","45Ω","150Ω","±5%"
"C705320","BZX84C15Q-7-F","DIODES","2500","10","10","https://www.lcsc.com/product-detail/C705320.html","SOT-23","Tape & Reel (TR)","1 Independent","350mW","15V","100nA@10.5V","13.8V~15.6V","-65℃~+150℃","30Ω","200Ω","-"
"C707157","MMSZ5223B","Slkor","640","20","20","https://www.lcsc.com/product-detail/C707157.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","2.7V","75uA","2.57V~2.84V","-55℃~+150℃","30Ω","1.3kΩ","-"
"C707158","MMSZ5226B","Slkor","160","20","20","https://www.lcsc.com/product-detail/C707158.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.3V","25uA@1V","3.14V~3.47V","-55℃~+150℃","28Ω","1.6kΩ","-"
"C707159","MMSZ5227B","Slkor","1060","20","20","https://www.lcsc.com/product-detail/C707159.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.5V","15uA@1V","3.42V~3.78V","-55℃~+150℃","24Ω","1.7kΩ","-"
"C707160","MMSZ5228B","Slkor","3340","20","20","https://www.lcsc.com/product-detail/C707160.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.9V","10uA@1V","3.71V~4.1V","-55℃~+150℃","23Ω","1.9kΩ","±5%"
