LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Operating Temperature
C520047,CC0805JRX7R9BB823,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C520047,3900,0.0158,50,50,https://www.lcsc.com/product-detail/C520047.html,0805,Tape & Reel (TR),82nF,±5%,50V,X7R,
C340107,CC0805JRNPOYBN470,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C340107,3900,0.0146,100,100,https://www.lcsc.com/product-detail/C340107.html,0805,Tape & Reel (TR),47pF,±5%,250V,NP0,
C184771,GCM1885C2A471JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6b12a59f04bd4989b88fd77d74525cce.pdf?productCode=C184771,3900,0.0210,50,50,https://www.lcsc.com/product-detail/C184771.html,0603,Tape & Reel (TR),470pF,±5%,100V,C0G,
C2181354,GQM2195C2E180JB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/5b9f5e37c4ab21806af4b6e4c295d629.pdf?productCode=C2181354,3890,0.2729,5,5,https://www.lcsc.com/product-detail/C2181354.html,0805,Tape & Reel (TR),18pF,±5%,250V,C0G,
C6371538,C0805C100J1GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/ca478561d3172e9ccd486961ecbcbc0c.pdf?productCode=C6371538,3880,0.0328,20,20,https://www.lcsc.com/product-detail/C6371538.html,0805,Tape & Reel (TR),10pF,±5%,100V,C0G,
C2169164,C0603C561J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2169164,3880,0.0216,20,20,https://www.lcsc.com/product-detail/C2169164.html,0603,Tape & Reel (TR),560pF,±5%,50V,C0G,
C3904388,GCM1885C1H472GA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/9a91689d64f398e3b2c76a465ffdaeda.pdf?productCode=C3904388,3865,0.1126,5,5,https://www.lcsc.com/product-detail/C3904388.html,0603,Tape & Reel (TR),4.7nF,±2%,50V,C0G,
C711024,GRM31A5C2J331JW01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/bd9af8639a9190606d7de56530c62577.pdf?productCode=C711024,3860,0.0710,10,10,https://www.lcsc.com/product-detail/C711024.html,1206,Tape & Reel (TR),330pF,±5%,630V,C0G,
C576903,CC0805FRNPO0BN561,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C576903,3860,0.0431,20,20,https://www.lcsc.com/product-detail/C576903.html,0805,Tape & Reel (TR),560pF,±1%,100V,NP0,
C3878107,GRT1555C1H161FA02D,muRata,https://datasheet.lcsc.com/datasheet/pdf/311cd693c4cf09d9e87c0bd93ea91d54.pdf?productCode=C3878107,3850,0.0238,10,10,https://www.lcsc.com/product-detail/C3878107.html,0402,Tape & Reel (TR),160pF,±1%,50V,C0G,
C2191164,AC0603JRNPO9BN560,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2191164,3850,0.0132,50,50,https://www.lcsc.com/product-detail/C2191164.html,0603,Tape & Reel (TR),56pF,±5%,50V,NP0,
