LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C137723,RC0603FR-0740K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137723,10700,0.0069,100,100,https://www.lcsc.com/product-detail/C137723.html,0603,Tape & Reel (TR),Thick Film Resistor,40.2kΩ,±1%,75V,100mW,±100ppm/℃
C245963,RC0603FR-07392KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245963,10600,0.0070,100,100,https://www.lcsc.com/product-detail/C245963.html,0603,Tape & Reel (TR),Thick Film Resistor,392kΩ,±1%,75V,100mW,±100ppm/℃
C226845,AC0402FR-071K21L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226845,10600,0.0019,100,100,https://www.lcsc.com/product-detail/C226845.html,0402,Tape & Reel (TR),Thick Film Resistor,1.21kΩ,±1%,50V,62.5mW,±100ppm/℃
C125934,AC0603FR-0720KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C125934,10600,0.0047,100,100,https://www.lcsc.com/product-detail/C125934.html,0603,Tape & Reel (TR),Thick Film Resistor,20kΩ,±1%,75V,100mW,±100ppm/℃
C364359,RC0603FR-0751K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C364359,10500,0.0039,100,100,https://www.lcsc.com/product-detail/C364359.html,0603,Tape & Reel (TR),Thick Film Resistor,51.1kΩ,±1%,75V,100mW,±100ppm/℃
C327245,RC0402FR-071M6L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C327245,10500,0.0047,100,100,https://www.lcsc.com/product-detail/C327245.html,0402,Tape & Reel (TR),Thick Film Resistor,1.6MΩ,±1%,50V,62.5mW,±100ppm/℃
C273976,RC0805FR-073K24L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273976,10500,0.0056,100,100,https://www.lcsc.com/product-detail/C273976.html,0805,Tape & Reel (TR),Thick Film Resistor,3.24kΩ,±1%,150V,125mW,±100ppm/℃
C227967,AC0603FR-0756RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227967,10500,0.0051,100,100,https://www.lcsc.com/product-detail/C227967.html,0603,Tape & Reel (TR),Thick Film Resistor,56Ω,±1%,75V,100mW,±100ppm/℃
C141698,RC0805FR-07750KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C141698,10500,0.0091,100,100,https://www.lcsc.com/product-detail/C141698.html,0805,Tape & Reel (TR),Thick Film Resistor,750kΩ,±1%,150V,125mW,±100ppm/℃
C482778,RC0603FR-07174KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482778,10400,0.0067,100,100,https://www.lcsc.com/product-detail/C482778.html,0603,Tape & Reel (TR),Thick Film Resistor,174kΩ,±1%,75V,100mW,±100ppm/℃
C412133,RC0805FR-074K87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C412133,10400,0.0055,100,100,https://www.lcsc.com/product-detail/C412133.html,0805,Tape & Reel (TR),Thick Film Resistor,4.87kΩ,±1%,150V,125mW,±100ppm/℃
C138272,AC0805FR-071K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C138272,10400,0.0108,100,100,https://www.lcsc.com/product-detail/C138272.html,0805,Tape & Reel (TR),Thick Film Resistor,1.2kΩ,±1%,150V,125mW,±100ppm/℃
C125918,AC0603FR-071K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C125918,10400,0.0087,100,100,https://www.lcsc.com/product-detail/C125918.html,0603,Tape & Reel (TR),Thick Film Resistor,1.3kΩ,±1%,75V,100mW,±100ppm/℃
C226744,AC0402FR-07107KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226744,10200,0.0033,100,100,https://www.lcsc.com/product-detail/C226744.html,0402,Tape & Reel (TR),Thick Film Resistor,107kΩ,±1%,50V,62.5mW,±100ppm/℃
C185419,RC0402FR-073K09L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185419,10200,0.0010,100,100,https://www.lcsc.com/product-detail/C185419.html,0402,Tape & Reel (TR),Thick Film Resistor,3.09kΩ,±1%,50V,62.5mW,±100ppm/℃
C144040,AF0402FR-0749R9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C144040,10200,0.0068,100,100,https://www.lcsc.com/product-detail/C144040.html,0402,Tape & Reel (TR),Thick Film Resistor,49.9Ω,±1%,50V,62.5mW,±100ppm/℃
C227930,AC0603FR-074K42L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227930,10100,0.0033,100,100,https://www.lcsc.com/product-detail/C227930.html,0603,Tape & Reel (TR),Thick Film Resistor,4.42kΩ,±1%,75V,100mW,±100ppm/℃
C226796,AC0402FR-0715R8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226796,10050,0.0049,50,50,https://www.lcsc.com/product-detail/C226796.html,0402,Tape & Reel (TR),Thick Film Resistor,15.8Ω,±1%,50V,62.5mW,±100ppm/℃
