LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C148223,SMAJ24CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148223,12820,0.1271,5,5,https://www.lcsc.com/product-detail/C148223.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,38.9V,1uA,TVS,400W@10/1000us,-65℃~+150℃,24V,29.5V,1,10.3A
C148217,SMAJ16CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148217,12570,0.1061,5,5,https://www.lcsc.com/product-detail/C148217.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,26V,1uA,TVS,400W@10/1000us,-65℃~+150℃,16V,19.7V,1,15.4A@10/1000us
C223983,SMAJ13CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223983,11925,0.1035,5,5,https://www.lcsc.com/product-detail/C223983.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,21.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,13V,15.9V,1,18.6A
C151245,SMAJ48CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151245,11205,0.1080,5,5,https://www.lcsc.com/product-detail/C151245.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,77.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,48V,58.9V,1,5.2A
C223989,SMAJ40CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223989,11180,0.1348,5,5,https://www.lcsc.com/product-detail/C223989.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,64.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,40V,49.1V,1,6.2A
C223988,SMAJ33A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223988,11120,0.1384,5,5,https://www.lcsc.com/product-detail/C223988.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,53.3V,1uA,TVS,400W@10/1000us,-65℃~+150℃,33V,40.6V,1,7.5A@10/1000us
C80275,SMAJ6.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C80275,10210,0.1273,5,5,https://www.lcsc.com/product-detail/C80275.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,10.3V,800uA,TVS,400W@10/1000us,-65℃~+150℃,6V,6.67V,1,38.8A
C148216,SMAJ15A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148216,9900,0.1391,5,5,https://www.lcsc.com/product-detail/C148216.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,24.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,15V,18.5V,1,16.4A@10/1000us
C148235,SMAJ58CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148235,9305,0.1222,5,5,https://www.lcsc.com/product-detail/C148235.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,93.6V,1uA,TVS,400W@10/1000us,-65℃~+150℃,58V,71.2V,1,4.3A@10/1000us
C148228,SMAJ28CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148228,9195,0.1280,5,5,https://www.lcsc.com/product-detail/C148228.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,45.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,28V,34.4V,1,8.8A@10/1000us
C151247,SMAJ60CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151247,8245,0.1426,5,5,https://www.lcsc.com/product-detail/C151247.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,96.8V,1uA,TVS,400W@10/1000us,-65℃~+150℃,60V,73.7V,1,4.1A
C223987,SMAJ20CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223987,8190,0.1081,5,5,https://www.lcsc.com/product-detail/C223987.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,32.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,20V,24.5V,1,12.3A
C74561,SMAJ16A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C74561,8120,0.1437,5,5,https://www.lcsc.com/product-detail/C74561.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,26V,15.4uA,TVS,400W@10/1000us,-65℃~+150℃,16V,17.8V,1,15.4A
C223984,SMAJ14CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223984,6925,0.1436,5,5,https://www.lcsc.com/product-detail/C223984.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,23.2V,1uA,TVS,400W@10/1000us,-65℃~+150℃,14V,17.2V,1,17.2A
C148210,SMAJ10A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148210,6435,0.1176,5,5,https://www.lcsc.com/product-detail/C148210.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,17V,10uA,TVS,400W@10/1000us,-65℃~+150℃,10V,12.3V,1,23.5A@10/1000us
C151238,SMAJ100A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151238,5190,0.1282,5,5,https://www.lcsc.com/product-detail/C151238.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,162V,1uA,TVS,400W@10/1000us,-65℃~+150℃,100V,123V,1,2.5A
C151248,SMAJ9.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151248,5120,0.1427,5,5,https://www.lcsc.com/product-detail/C151248.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,17V,10uA,TVS,400W@10/1000us,-65℃~+150℃,10V,12.3V,1,23.5A@10/1000us
C223995,SMAJ7.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223995,5060,0.1259,5,5,https://www.lcsc.com/product-detail/C223995.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,12.9V,100uA,TVS,400W@10/1000us,-65℃~+150℃,7.5V,9.21V,1,31A@10/1000us
C1972928,SMAJ6.5A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C1972928,5050,0.1434,10,10,https://www.lcsc.com/product-detail/C1972928.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,12V,200uA,TVS,400W@10/1000us,-65℃~+150℃,6.5V,8.6V,1,33.3A@10/1000us
C3720496,SMAJ188CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720496,5000,0.2918,5,5,https://www.lcsc.com/product-detail/C3720496.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,304V,1uA,TVS,400W@10/1000us,-65℃~+150℃,188V,209V,1,1.4A
C148218,SMAJ170A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148218,4990,0.2042,5,5,https://www.lcsc.com/product-detail/C148218.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,275V,1uA,TVS,400W@10/1000us,-65℃~+150℃,170V,209V,1,1.5A@10/1000us
C3720852,SMAJ188A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720852,4980,0.3291,5,5,https://www.lcsc.com/product-detail/C3720852.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,304V,1uA,TVS,400W@10/1000us,-65℃~+150℃,188V,209V,1,1.4A
C3720945,SMAJ160A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720945,4790,0.1331,5,5,https://www.lcsc.com/product-detail/C3720945.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,259V,,TVS,400W@10/1000us,-65℃~+150℃,160V,178V,1,1.5A
C3720042,SMAJ220CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720042,4745,0.3270,5,5,https://www.lcsc.com/product-detail/C3720042.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,356V,1uA,TVS,600W@10/1000us,-65℃~+150℃,220V,246V,1,1.1A
C148220,SMAJ22A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148220,4655,0.1255,5,5,https://www.lcsc.com/product-detail/C148220.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,35.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,22V,26.9V,1,11.3A@10/1000us
C3720949,SMAJ160CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720949,4285,0.2706,5,5,https://www.lcsc.com/product-detail/C3720949.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,259V,1uA,TVS,400W@10/1000us,-65℃~+150℃,160V,178V,1,1.5A
C315989,SMAJ9.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C315989,4105,0.1158,5,5,https://www.lcsc.com/product-detail/C315989.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,15.4V,10uA,TVS,400W@10/1000us,-65℃~+150℃,9V,10V,1,26A
C132232,SMAJ400CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C132232,3920,0.2040,5,5,https://www.lcsc.com/product-detail/C132232.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,648V,1uA,TVS,600W@10/1000us,-65℃~+150℃,400V,494V,1,600mA@10/1000us
C194785,SMAJ440A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C194785,3795,0.1996,5,5,https://www.lcsc.com/product-detail/C194785.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,713V,1uA,TVS,600W@10/1000us,-65℃~+150℃,440V,543V,1,600mA@10/1000us
C223992,SMAJ51A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223992,3765,0.1004,5,5,https://www.lcsc.com/product-detail/C223992.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,82.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,51V,62.7V,1,4.9A
C148234,SMAJ51CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148234,3595,0.1163,5,5,https://www.lcsc.com/product-detail/C148234.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,82.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,51V,62.7V,1,4.9A@10/1000us
C148221,SMAJ22CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148221,3455,0.1112,5,5,https://www.lcsc.com/product-detail/C148221.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,35.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,22V,26.9V,1,11.3A
C3720737,SMAJ78CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720737,3315,0.1827,5,5,https://www.lcsc.com/product-detail/C3720737.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,126V,1uA,TVS,400W@10/1000us,-65℃~+150℃,78V,86.7V,1,3.2A
C83330,SMAJ6.5CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C83330,3285,0.1308,5,5,https://www.lcsc.com/product-detail/C83330.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,11.2V,500uA,TVS,400W@10/1000us,-65℃~+150℃,6.5V,7.22V,1,35.7A
C99286,SMAJ14A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C99286,3275,0.1328,5,5,https://www.lcsc.com/product-detail/C99286.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,23.2V,17.2uA,TVS,400W@10/1000us,-65℃~+150℃,14V,15.6V,1,17.2A
C148214,SMAJ13A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148214,2970,0.1342,5,5,https://www.lcsc.com/product-detail/C148214.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,21.5V,1uA,TVS,400W@10/1000us,-65℃~+150℃,13V,15.9V,1,18.6A
C148237,SMAJ8.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148237,2940,0.1275,5,5,https://www.lcsc.com/product-detail/C148237.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,14.4V,50uA,TVS,400W@10/1000us,-65℃~+150℃,8.5V,10.4V,1,27.8A@10/1000us
C315986,SMAJ10CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C315986,2730,0.1606,5,5,https://www.lcsc.com/product-detail/C315986.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,17V,5uA,TVS,400W@10/1000us,-65℃~+150℃,10V,11.1V,1,23.5A
C224001,SMAJ85CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C224001,2680,0.1124,5,5,https://www.lcsc.com/product-detail/C224001.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,137V,1uA,TVS,400W@10/1000us,-65℃~+150℃,85V,104V,1,2.9A@10/1000us
C1972911,SMAJ45A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C1972911,2485,0.1158,5,5,https://www.lcsc.com/product-detail/C1972911.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,72.7V,1uA,TVS,400W@10/1000us,-65℃~+150℃,45V,55.3V,1,5.5A@10/1000us
C223996,SMAJ70A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223996,2450,0.1264,5,5,https://www.lcsc.com/product-detail/C223996.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,113V,1uA,TVS,400W@10/1000us,-65℃~+150℃,70V,86V,1,3.5A
C223994,SMAJ60A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223994,2160,0.1398,5,5,https://www.lcsc.com/product-detail/C223994.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,96.8V,1uA,TVS,400W@10/1000us,-65℃~+150℃,60V,73.7V,1,4.1A@8/20us
C3719960,SMAJ45CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3719960,1840,0.1500,5,5,https://www.lcsc.com/product-detail/C3719960.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,72.7V,1uA,TVS,400W@10/1000us,-65℃~+150℃,45V,50V,1,5.5A
C223986,SMAJ17A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223986,1830,0.1068,5,5,https://www.lcsc.com/product-detail/C223986.html,SMA(DO-214AC),Tape & Reel (TR),Unidirectional,27.6V,1uA,TVS,400W@10/1000us,-65℃~+150℃,17V,20.9V,1,14.5A@10/1000us
C223991,SMAJ48A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223991,1715,0.1146,5,5,https://www.lcsc.com/product-detail/C223991.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,77.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,48V,58.9V,1,5.2A
C3708825,SMAJ28CA-Q,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/d61a09bca545ce400afdd0f55a4ac854.pdf?productCode=C3708825,1505,0.2191,5,5,https://www.lcsc.com/product-detail/C3708825.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,45.4V,1uA,TVS,400W,-55℃~+150℃,28V,31.1V,1,8.8A
C3720181,SMAJ43A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720181,1425,0.1118,5,5,https://www.lcsc.com/product-detail/C3720181.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,69.4V,1uA,TVS,400W@10/1000us,-65℃~+150℃,43V,47.8V,1,5.8A
C151239,SMAJ17CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C151239,1380,0.1291,5,5,https://www.lcsc.com/product-detail/C151239.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,27.6V,1uA,TVS,400W@10/1000us,-65℃~+150℃,17V,20.9V,1,14.5A
C1972936,SMAJ8.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C1972936,1260,0.1337,5,5,https://www.lcsc.com/product-detail/C1972936.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,14.4V,50uA,TVS,400W@10/1000us,-65℃~+150℃,8.5V,10.4V,1,27.8A@10/1000us
C223981,SMAJ11CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C223981,1175,0.1233,5,5,https://www.lcsc.com/product-detail/C223981.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,18.2V,1uA,TVS,400W@10/1000us,-65℃~+150℃,11V,13.5V,1,22A
C148224,SMAJ250CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C148224,1160,0.1342,5,5,https://www.lcsc.com/product-detail/C148224.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,405V,1uA,TVS,600W@10/1000us,-65℃~+150℃,250V,309V,1,1A@10/1000us
C2649859,SMAJ400A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C2649859,990,0.2597,5,5,https://www.lcsc.com/product-detail/C2649859.html,DO-214AC(SMA),Tape & Reel (TR),Unidirectional,648V,1uA,TVS,600W@10/1000us,-65℃~+150℃,400V,447V,1,600mA
C3720677,SMAJ64CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4c7230dc8b40ab9b6a9a19d17f6f6c23.pdf?productCode=C3720677,955,0.0882,5,5,https://www.lcsc.com/product-detail/C3720677.html,DO-214AC(SMA),Tape & Reel (TR),Bidirectional,103V,1uA,TVS,400W@10/1000us,-65℃~+150℃,64V,71.1V,1,3.9A
C374025,SMAJ350CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/bf298e2c0542e0172af23908598fa548.pdf?productCode=C374025,895,0.2252,5,5,https://www.lcsc.com/product-detail/C374025.html,SMA(DO-214AC),Tape & Reel (TR),Bidirectional,567V,1uA,TVS,600W@10/1000us,-65℃~+150℃,350V,391V,1,700mA
