LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C1976313,SMDJ90A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/cf41f2d4916f80c50c8fda3429d1e00b.pdf?productCode=C1976313,2885,0.6808,1,1,https://www.lcsc.com/product-detail/C1976313.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,146V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,90V,111V,1,102.5A@8/20us
C1976798,TPSMD58CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1976798,2868,1.1032,1,1,https://www.lcsc.com/product-detail/C1976798.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,93.6V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,58V,71.2V,,32.1A
C80273,SMCJ40CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C80273,2860,0.2465,5,5,https://www.lcsc.com/product-detail/C80273.html,DO-214AB,Tape & Reel (TR),Bidirectional,64.5V,,TVS,1.5kW@10/1000us,-65℃~+150℃,40V,44.4V,1,23.3A
C1977079,1.5SMC12CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b3cdf5a3fe351b37a79b81a465a20876.pdf?productCode=C1977079,2825,0.6808,1,1,https://www.lcsc.com/product-detail/C1977079.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,16.7V,5uA,TVS,1.5kW@10/1000us,-65℃~+150℃,10.2V,11.4V,1,91A
C1977407,TPSMD28CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1977407,2822,0.6788,1,1,https://www.lcsc.com/product-detail/C1977407.html,DO-214AB(SMCJ),Tape & Reel (TR),Bidirectional,45.4V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,28V,31.1V,,66.1A
C151282,SMCJ36A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151282,2815,0.3453,5,5,https://www.lcsc.com/product-detail/C151282.html,DO-214AB,Tape & Reel (TR),Unidirectional,58.1V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,36V,44.2V,1,58.1A@10/1000us
C2938305,SMCJ17CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C2938305,2810,0.3426,5,5,https://www.lcsc.com/product-detail/C2938305.html,DO-214AB,Tape & Reel (TR),Bidirectional,27.6V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,17V,18.9V,1,54.4A
C3710006,3.0SMC28A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/643260fda48a020f4b800fe550efd242.pdf?productCode=C3710006,2805,0.7182,1,1,https://www.lcsc.com/product-detail/C3710006.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,59V,1uA,TVS,-,-65℃~+150℃,28V,31.1V,,470A@8/20us
C1975195,TPSMC27A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/fe4080287c353e08b3ea1d595394f567.pdf?productCode=C1975195,2775,0.6093,1,1,https://www.lcsc.com/product-detail/C1975195.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,37.5V,1uA,TVS,1.5kW@10/1000us,,23.1V,25.7V,,40.5A
C1973021,SMCJ75CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C1973021,2730,0.3839,5,5,https://www.lcsc.com/product-detail/C1973021.html,DO-214AB,Tape & Reel (TR),Bidirectional,121V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,75V,92.1V,1,121A@10/1000us
C1975536,1.5SMC82A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b3cdf5a3fe351b37a79b81a465a20876.pdf?productCode=C1975536,2726,0.5398,1,1,https://www.lcsc.com/product-detail/C1975536.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,113V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,70.1V,77.9V,1,13.5A
C1973078,SMCJ51A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/d99b181af1fd4367abb6f6b0192c317c.pdf?productCode=C1973078,2675,0.3590,5,5,https://www.lcsc.com/product-detail/C1973078.html,DO-214AB,Tape & Reel (TR),Unidirectional,82.4V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,51V,62.7V,1,18.2A@10/1000us
C1976216,TPSMD30A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/b11f7c4d547ebb924a4813a7a78e322f.pdf?productCode=C1976216,2618,0.5350,1,1,https://www.lcsc.com/product-detail/C1976216.html,DO-214AB(SMCJ),Tape & Reel (TR),Unidirectional,48.4V,2uA,TVS,3kW@10/1000us,-65℃~+150℃,30V,33.3V,,62A
C151280,SMCJ26CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C151280,2585,0.3985,5,5,https://www.lcsc.com/product-detail/C151280.html,DO-214AB,Tape & Reel (TR),Bidirectional,42.1V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,26V,31.9V,1,35.7A
C224046,SMCJ26A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ffc39069ef6aef3785dfbfda82b9e7d.pdf?productCode=C224046,2495,0.2688,5,5,https://www.lcsc.com/product-detail/C224046.html,DO-214AB,Tape & Reel (TR),Unidirectional,42.1V,1uA,TVS,1.5kW@10/1000us,-65℃~+150℃,26V,31.9V,1,35.7A@10/1000us
